"id";"vpu_id";"decision";"resource_type";"avg_usage";"max_usage";"forecasted_max";"scale_percent";"itis_ticket_number";"action_status";"remarks";"run_id";"created_at"
1;506;"scale_down";"memory";4.19;4.5;4.07;50.0;"";"";"";"1";"2026-06-21 07:52:37"
2;509;"no_change";"memory";57.4;59.51;61.53;0.0;"";"";"";"2";"2026-06-21 07:52:37"
3;505;"no_change";"memory";71.03;71.87;73.46;0.0;"";"";"";"3";"2026-06-21 07:52:37"
4;510;"no_change";"memory";53.41;54.99;59.42;0.0;"";"";"";"4";"2026-06-21 07:52:37"
5;508;"no_change";"memory";74.6;74.91;75.13;0.0;"";"";"";"5";"2026-06-21 07:52:38"
6;507;"no_change";"memory";56.06;57.19;56.12;0.0;"";"";"";"6";"2026-06-21 07:52:38"
7;512;"no_change";"memory";50.24;51.15;43.14;0.0;"";"";"";"7";"2026-06-21 07:52:38"
8;511;"no_change";"memory";48.36;49.52;50.46;0.0;"";"";"";"8";"2026-06-21 07:52:38"
9;514;"no_change";"memory";52.28;54.02;53.32;0.0;"";"";"";"9";"2026-06-21 07:52:39"
10;513;"no_change";"memory";61.5;62.62;56.38;0.0;"";"";"";"10";"2026-06-21 07:52:39"
11;515;"no_change";"memory";63.63;65.02;68.31;0.0;"";"";"";"11";"2026-06-21 07:58:38"
12;516;"no_change";"memory";56.0;57.35;59.74;0.0;"";"";"";"12";"2026-06-21 07:58:38"
13;517;"scale_down";"memory";37.3;39.52;42.75;25.0;"";"";"";"13";"2026-06-21 07:58:38"
14;518;"no_change";"memory";71.7;73.14;73.29;0.0;"";"";"";"14";"2026-06-21 07:58:38"
15;519;"scale_down";"memory";24.0;25.19;24.75;50.0;"";"";"";"15";"2026-06-21 07:58:39"
16;520;"scale_down";"memory";28.03;29.39;29.11;50.0;"";"";"";"16";"2026-06-21 07:58:39"
17;521;"scale_down";"memory";31.67;33.5;31.07;25.0;"";"";"";"17";"2026-06-21 07:58:39"
18;522;"scale_down";"memory";24.62;25.53;24.63;50.0;"";"";"";"18";"2026-06-21 07:58:39"
19;523;"no_change";"memory";67.66;71.33;67.99;0.0;"";"";"";"19";"2026-06-21 07:58:40"
20;524;"no_change";"memory";54.92;55.5;27.11;0.0;"";"";"";"20";"2026-06-21 07:58:40"
21;525;"no_change";"memory";67.41;68.8;72.35;0.0;"";"";"";"21";"2026-06-21 08:04:49"
22;526;"scale_down";"memory";28.24;29.28;30.1;50.0;"";"";"";"22";"2026-06-21 08:04:49"
23;527;"no_change";"memory";78.3;81.46;79.48;0.0;"";"";"";"23";"2026-06-21 08:04:50"
24;528;"scale_down";"memory";36.73;37.52;30.67;25.0;"";"";"";"24";"2026-06-21 08:04:50"
25;529;"scale_down";"memory";15.96;16.15;12.54;50.0;"";"";"";"25";"2026-06-21 08:04:50"
26;530;"no_change";"memory";82.01;82.89;43.31;0.0;"";"";"";"26";"2026-06-21 08:04:50"
27;531;"no_change";"memory";77.51;77.64;79.26;0.0;"";"";"";"27";"2026-06-21 08:04:51"
28;532;"no_change";"memory";61.22;61.27;61.58;0.0;"";"";"";"28";"2026-06-21 08:04:51"
29;533;"no_change";"memory";80.49;80.52;81.62;0.0;"";"";"";"29";"2026-06-21 08:04:51"
30;534;"scale_down";"memory";16.57;17.13;19.79;50.0;"";"";"";"30";"2026-06-21 08:04:51"
31;535;"scale_down";"memory";10.6;16.61;12.27;50.0;"";"";"";"31";"2026-06-21 08:10:40"
32;536;"scale_down";"memory";9.1;14.61;7.26;50.0;"";"";"";"32";"2026-06-21 08:10:41"
33;537;"scale_down";"memory";19.32;19.89;17.05;50.0;"";"";"";"33";"2026-06-21 08:10:41"
34;538;"scale_down";"memory";10.71;11.14;12.91;50.0;"";"";"";"34";"2026-06-21 08:10:41"
35;539;"no_change";"memory";68.44;70.48;66.44;0.0;"";"";"";"35";"2026-06-21 08:10:41"
36;540;"scale_down";"memory";31.85;32.18;43.83;25.0;"";"";"";"36";"2026-06-21 08:10:42"
37;541;"no_change";"memory";69.09;69.82;72.87;0.0;"";"";"";"37";"2026-06-21 08:10:42"
38;542;"no_change";"memory";56.04;56.55;57.21;0.0;"";"";"";"38";"2026-06-21 08:10:42"
39;543;"scale_down";"memory";19.84;20.28;19.35;50.0;"";"";"";"39";"2026-06-21 08:10:42"
40;544;"no_change";"memory";55.12;56.68;59.01;0.0;"";"";"";"40";"2026-06-21 08:10:43"
41;545;"no_change";"memory";49.57;51.66;51.53;0.0;"";"";"";"41";"2026-06-21 08:16:40"
42;546;"no_change";"memory";42.45;43.58;43.72;0.0;"";"";"";"42";"2026-06-21 08:16:40"
43;547;"scale_down";"memory";38.8;40.28;40.34;25.0;"";"";"";"43";"2026-06-21 08:16:41"
44;548;"no_change";"memory";55.29;58.44;53.81;0.0;"";"";"";"44";"2026-06-21 08:16:41"
45;549;"scale_down";"memory";37.58;39.61;35.69;25.0;"";"";"";"45";"2026-06-21 08:16:41"
46;550;"no_change";"memory";46.77;48.47;49.95;0.0;"";"";"";"46";"2026-06-21 08:16:41"
47;551;"no_change";"memory";66.58;73.7;67.89;0.0;"";"";"";"47";"2026-06-21 08:16:42"
48;552;"scale_down";"memory";33.9;35.57;33.49;25.0;"";"";"";"48";"2026-06-21 08:16:42"
49;553;"no_change";"memory";40.97;43.16;40.51;0.0;"";"";"";"49";"2026-06-21 08:16:42"
50;554;"no_change";"memory";44.56;46.07;43.25;0.0;"";"";"";"50";"2026-06-21 08:16:42"
51;555;"no_change";"memory";70.82;72.05;73.81;0.0;"";"";"";"51";"2026-06-21 08:22:41"
52;556;"no_change";"memory";54.05;56.08;54.5;0.0;"";"";"";"52";"2026-06-21 08:22:42"
53;557;"scale_down";"memory";38.58;41.27;36.89;25.0;"";"";"";"53";"2026-06-21 08:22:42"
54;558;"scale_down";"memory";6.05;6.1;5.89;50.0;"";"";"";"54";"2026-06-21 08:22:42"
55;559;"no_change";"memory";43.12;46.7;39.53;0.0;"";"";"";"55";"2026-06-21 08:22:42"
56;560;"no_change";"memory";44.77;46.25;44.2;0.0;"";"";"";"56";"2026-06-21 08:22:42"
57;561;"scale_down";"memory";33.62;35.77;30.7;25.0;"";"";"";"57";"2026-06-21 08:22:43"
58;562;"no_change";"memory";41.29;42.75;41.84;0.0;"";"";"";"58";"2026-06-21 08:22:43"
59;563;"scale_down";"memory";31.7;32.58;33.68;25.0;"";"";"";"59";"2026-06-21 08:22:43"
60;564;"no_change";"memory";42.6;44.33;43.91;0.0;"";"";"";"60";"2026-06-21 08:22:43"
61;565;"no_change";"memory";41.45;48.74;26.35;0.0;"";"";"";"61";"2026-06-21 08:28:53"
62;566;"no_change";"memory";48.41;51.21;49.39;0.0;"";"";"";"62";"2026-06-21 08:28:53"
63;567;"no_change";"memory";57.06;64.74;54.28;0.0;"";"";"";"63";"2026-06-21 08:28:54"
64;568;"no_change";"memory";73.44;74.7;31.0;0.0;"";"";"";"64";"2026-06-21 08:28:54"
65;569;"scale_down";"memory";36.17;40.19;37.99;25.0;"";"";"";"65";"2026-06-21 08:28:54"
66;570;"scale_down";"memory";25.85;27.5;24.0;50.0;"";"";"";"66";"2026-06-21 08:28:54"
67;571;"scale_down";"memory";29.01;30.2;30.93;50.0;"";"";"";"67";"2026-06-21 08:28:55"
68;572;"scale_down";"memory";37.03;40.71;37.03;25.0;"";"";"";"68";"2026-06-21 08:28:55"
69;573;"no_change";"memory";55.2;62.36;30.0;0.0;"";"";"";"69";"2026-06-21 08:28:55"
70;574;"scale_down";"memory";29.37;30.21;35.03;50.0;"";"";"";"70";"2026-06-21 08:28:55"
71;575;"no_change";"memory";48.39;49.78;50.17;0.0;"";"";"";"71";"2026-06-21 08:34:45"
72;576;"no_change";"memory";45.24;47.25;46.53;0.0;"";"";"";"72";"2026-06-21 08:34:45"
73;577;"no_change";"memory";52.1;54.39;64.23;0.0;"";"";"";"73";"2026-06-21 08:34:46"
74;578;"no_change";"memory";41.14;41.9;43.68;0.0;"";"";"";"74";"2026-06-21 08:34:46"
75;579;"no_change";"memory";69.74;71.91;65.92;0.0;"";"";"";"75";"2026-06-21 08:34:46"
76;580;"no_change";"memory";68.18;69.76;67.41;0.0;"";"";"";"76";"2026-06-21 08:34:46"
