"vm_id";"vm_name";"cpu_count";"cpu_core_count";"ram";"hypervisor";"resize_type"
1;"host51";1;2;3666;"Hyper-v";"no_change"
2;"host52";1;3;8192;"Hyper-v";"no_change"
3;"host53";2;4;64306;"Hyper-v";"no_change"
4;"host54";2;1;15762;"Hyper-v";"no_change"
5;"host55";4;1;63890;"Hyper-v";"no_change"
6;"host56";2;2;7698;"Hyper-v";"no_change"
7;"host57";32;1;31882;"Hyper-v";"no_change"
8;"host58";1;2;7698;"Hyper-v";"no_change"
9;"host59";2;2;15762;"Hyper-v";"no_change"
10;"host60";1;4;65536;"Hyper-v";"no_change"
11;"host61";1;2;8192;"Hyper-v";"no_change"
12;"host62";2;4;40960;"Hyper-v";"no_change"
13;"host63";2;2;49152;"Hyper-v";"no_change"
14;"host64";1;8;65536;"Hyper-v";"no_change"
15;"host65";4;8;131072;"Hyper-v";"no_change"
16;"host66";1;8;49152;"Hyper-v";"no_change"
17;"host67";1;4;8192;"Hyper-v";"no_change"
18;"host68";1;2;8192;"Hyper-v";"no_change"
19;"host69";1;2;8192;"Hyper-v";"no_change"
20;"host70";2;8;131072;"Hyper-v";"no_change"
21;"host71";1;8;24576;"Hyper-v";"no_change"
22;"host72";1;4;16384;"Hyper-v";"no_change"
23;"host73";2;4;24576;"Hyper-v";"no_change"
24;"host74";1;8;16384;"Hyper-v";"no_change"
25;"host75";1;4;16384;"Hyper-v";"no_change"
26;"host76";2;8;75776;"Hyper-v";"no_change"
27;"host77";3;2;40960;"Hyper-v";"no_change"
28;"host78";1;4;24576;"Hyper-v";"no_change"
29;"host79";8;0;0;"Hyper-v";"no_change"
30;"host80";1;2;7698;"Hyper-v";"no_change"
31;"host81";3;2;16384;"Hyper-v";"no_change"
32;"host82";4;1;16384;"Hyper-v";"no_change"
33;"host83";4;1;8192;"Hyper-v";"no_change"
34;"host84";4;2;65536;"Hyper-v";"no_change"
35;"host85";1;2;8192;"Hyper-v";"no_change"
36;"host86";8;2;65536;"Hyper-v";"no_change"
37;"host87";2;2;49152;"Hyper-v";"no_change"
38;"host88";1;2;8192;"Hyper-v";"no_change"
39;"host89";1;4;32768;"Hyper-v";"no_change"
40;"host90";1;4;16384;"Hyper-v";"no_change"
41;"host91";2;8;131072;"Hyper-v";"no_change"
42;"host92";1;2;8192;"Hyper-v";"no_change"
43;"host93";2;2;12288;"Hyper-v";"no_change"
44;"host94";1;1;4096;"Hyper-v";"no_change"
45;"host95";1;4;8192;"Hyper-v";"no_change"
46;"host96";2;8;131072;"Hyper-v";"no_change"
47;"host97";6;1;16384;"Hyper-v";"no_change"
48;"host98";2;4;65536;"Hyper-v";"no_change"
49;"host99";2;2;16384;"Hyper-v";"no_change"
50;"host100";1;3;8192;"Hyper-v";"no_change"
51;"host101";2;3;8192;"Hyper-v";"no_change"
52;"host102";2;4;65536;"Hyper-v";"no_change"
53;"host103";1;4;65536;"Hyper-v";"no_change"
54;"host104";6;1;32768;"Hyper-v";"no_change"
55;"host105";2;2;32768;"Hyper-v";"no_change"
56;"host106";1;2;8192;"Hyper-v";"no_change"
57;"host107";1;8;49152;"Hyper-v";"no_change"
58;"host108";1;4;32768;"Hyper-v";"no_change"
59;"host109";1;2;8192;"Hyper-v";"no_change"
60;"host110";1;8;40960;"Hyper-v";"no_change"
61;"host111";4;4;131072;"Hyper-v";"no_change"
62;"host112";2;12;65536;"Hyper-v";"no_change"
63;"host113";4;2;65536;"Hyper-v";"no_change"
64;"host114";4;4;32768;"Hyper-v";"no_change"
65;"host115";1;4;32768;"Hyper-v";"no_change"
66;"host116";1;8;65536;"Hyper-v";"no_change"
67;"host117";1;8;65536;"Hyper-v";"no_change"
68;"host118";2;4;65536;"Hyper-v";"no_change"
69;"host119";2;2;24576;"Hyper-v";"no_change"
70;"host120";2;1;8192;"Hyper-v";"no_change"
71;"host121";1;2;8192;"Hyper-v";"no_change"
72;"host122";6;2;65536;"Hyper-v";"no_change"
73;"host123";1;2;8192;"Hyper-v";"no_change"
74;"host124";2;12;131072;"Hyper-v";"no_change"
75;"host125";2;12;131072;"Hyper-v";"no_change"
76;"host126";4;2;36864;"Hyper-v";"no_change"
77;"host127";6;1;32768;"Hyper-v";"no_change"
78;"host128";1;2;40960;"Hyper-v";"no_change"
79;"host129";1;4;12288;"Hyper-v";"no_change"
80;"host130";3;8;65536;"Hyper-v";"no_change"
81;"host131";4;6;131072;"Hyper-v";"no_change"
82;"host132";4;8;131072;"Hyper-v";"no_change"
83;"host133";4;6;131072;"Hyper-v";"no_change"
84;"host134";2;1;8192;"Hyper-v";"no_change"
85;"host135";4;1;32768;"Hyper-v";"no_change"
86;"host136";1;8;65536;"Hyper-v";"no_change"
87;"host137";3;8;65536;"Hyper-v";"no_change"
88;"host138";3;8;65536;"Hyper-v";"no_change"
89;"host139";1;8;65536;"Hyper-v";"no_change"
90;"host140";1;8;49152;"Hyper-v";"no_change"
91;"host141";3;8;131072;"Hyper-v";"no_change"
92;"host142";1;1;4096;"Hyper-v";"no_change"
93;"host143";3;8;131072;"Hyper-v";"no_change"
94;"host144";1;8;65536;"Hyper-v";"no_change"
95;"host145";4;1;32768;"Hyper-v";"no_change"
96;"host146";3;4;98304;"Hyper-v";"no_change"
97;"host147";2;1;8192;"Hyper-v";"no_change"
98;"host148";8;0;0;"Hyper-v";"no_change"
99;"host149";1;2;32768;"Hyper-v";"no_change"
100;"host150";4;2;32768;"Hyper-v";"no_change"
101;"host151";1;4;12288;"Hyper-v";"no_change"
102;"host152";1;8;122880;"Hyper-v";"no_change"
103;"host153";1;8;65536;"Hyper-v";"no_change"
104;"host154";4;1;32768;"Hyper-v";"no_change"
105;"host155";4;2;16384;"Hyper-v";"no_change"
106;"host156";4;1;32768;"Hyper-v";"no_change"
107;"host157";4;1;32768;"Hyper-v";"no_change"
108;"host158";1;4;16384;"Hyper-v";"no_change"
109;"host159";2;8;65536;"Hyper-v";"no_change"
110;"host160";4;1;16384;"Hyper-v";"no_change"
111;"host161";2;1;10240;"Hyper-v";"no_change"
112;"host162";8;1;131072;"Hyper-v";"no_change"
113;"host163";4;1;16384;"Hyper-v";"no_change"
114;"host164";8;1;32768;"Hyper-v";"no_change"
115;"host165";6;1;32768;"Hyper-v";"no_change"
116;"host166";1;8;16384;"Hyper-v";"no_change"
117;"host167";4;2;24576;"Hyper-v";"no_change"
118;"host168";1;2;3660;"Hyper-v";"no_change"
119;"host169";2;2;16384;"Hyper-v";"no_change"
120;"host170";2;2;24576;"Hyper-v";"no_change"
121;"host171";2;4;65535;"Hyper-v";"no_change"
122;"host172";3;2;65535;"Hyper-v";"no_change"
123;"host173";2;4;65535;"Hyper-v";"no_change"
124;"host174";3;6;65535;"Hyper-v";"no_change"
125;"host175";3;6;65535;"Hyper-v";"no_change"
126;"host176";1;4;8192;"Hyper-v";"no_change"
127;"host177";1;4;16384;"Hyper-v";"no_change"
128;"host178";2;1;12288;"Hyper-v";"no_change"
129;"host179";12;1;32768;"Hyper-v";"no_change"
130;"host180";12;1;32768;"Hyper-v";"no_change"
131;"host181";12;1;24576;"Hyper-v";"no_change"
132;"host182";4;1;8192;"Hyper-v";"no_change"
133;"host183";8;1;65536;"Hyper-v";"no_change"
134;"host184";4;2;32768;"Hyper-v";"no_change"
135;"host185";1;8;8192;"Hyper-v";"no_change"
136;"host186";8;1;16384;"Hyper-v";"no_change"
137;"host187";8;1;16384;"Hyper-v";"no_change"
138;"host188";4;1;12288;"Hyper-v";"no_change"
139;"host189";2;16;65536;"Hyper-v";"no_change"
140;"host190";49;1;65536;"Hyper-v";"no_change"
