"vm_id";"class";"cpu_count";"cpu_core_count";"ram"
1;"host51";1;2;3666
2;"host52";1;3;8192
3;"host53";2;4;64306
4;"host54";2;1;15762
5;"host55";4;1;63890
6;"host56";2;2;7698
7;"host57";32;1;31882
8;"host58";1;2;7698
9;"host59";2;2;15762
10;"host60";1;4;65536
11;"host61";1;2;8192
12;"host62";2;4;40960
13;"host63";2;2;49152
14;"host64";1;8;65536
15;"host65";4;8;131072
16;"host66";1;8;49152
17;"host67";1;4;8192
18;"host68";1;2;8192
19;"host69";1;2;8192
20;"host70";2;8;131072
21;"host71";1;8;24576
22;"host72";1;4;16384
23;"host73";2;4;24576
24;"host74";1;8;16384
25;"host75";1;4;16384
26;"host76";2;8;75776
27;"host77";3;2;40960
28;"host78";1;4;24576
29;"host79";8;0;0
30;"host80";1;2;7698
31;"host81";3;2;16384
32;"host82";4;1;16384
33;"host83";4;1;8192
34;"host84";4;2;65536
35;"host85";1;2;8192
36;"host86";8;2;65536
37;"host87";2;2;49152
38;"host88";1;2;8192
39;"host89";1;4;32768
40;"host90";1;4;16384
41;"host91";2;8;131072
42;"host92";1;2;8192
43;"host93";2;2;12288
44;"host94";1;1;4096
45;"host95";1;4;8192
46;"host96";2;8;131072
47;"host97";6;1;16384
48;"host98";2;4;65536
49;"host99";2;2;16384
50;"host100";1;3;8192
51;"host101";2;3;8192
52;"host102";2;4;65536
53;"host103";1;4;65536
54;"host104";6;1;32768
55;"host105";2;2;32768
56;"host106";1;2;8192
57;"host107";1;8;49152
58;"host108";1;4;32768
59;"host109";1;2;8192
60;"host110";1;8;40960
61;"host111";4;4;131072
62;"host112";2;12;65536
63;"host113";4;2;65536
64;"host114";4;4;32768
65;"host115";1;4;32768
66;"host116";1;8;65536
67;"host117";1;8;65536
68;"host118";2;4;65536
69;"host119";2;2;24576
70;"host120";2;1;8192
71;"host121";1;2;8192
72;"host122";6;2;65536
73;"host123";1;2;8192
74;"host124";2;12;131072
75;"host125";2;12;131072
76;"host126";4;2;36864
77;"host127";6;1;32768
78;"host128";1;2;40960
79;"host129";1;4;12288
80;"host130";3;8;65536
81;"host131";4;6;131072
82;"host132";4;8;131072
83;"host133";4;6;131072
84;"host134";2;1;8192
85;"host135";4;1;32768
86;"host136";1;8;65536
87;"host137";3;8;65536
88;"host138";3;8;65536
89;"host139";1;8;65536
90;"host140";1;8;49152
91;"host141";3;8;131072
92;"host142";1;1;4096
93;"host143";3;8;131072
94;"host144";1;8;65536
95;"host145";4;1;32768
96;"host146";3;4;98304
97;"host147";2;1;8192
98;"host148";8;0;0
99;"host149";1;2;32768
100;"host150";4;2;32768
101;"host151";1;4;12288
102;"host152";1;8;122880
103;"host153";1;8;65536
104;"host154";4;1;32768
105;"host155";4;2;16384
106;"host156";4;1;32768
107;"host157";4;1;32768
108;"host158";1;4;16384
109;"host159";2;8;65536
110;"host160";4;1;16384
111;"host161";2;1;10240
112;"host162";8;1;131072
113;"host163";4;1;16384
114;"host164";8;1;32768
115;"host165";6;1;32768
116;"host166";1;8;16384
117;"host167";4;2;24576
118;"host168";1;2;3660
119;"host169";2;2;16384
120;"host170";2;2;24576
121;"host171";2;4;65535
122;"host172";3;2;65535
123;"host173";2;4;65535
124;"host174";3;6;65535
125;"host175";3;6;65535
126;"host176";1;4;8192
127;"host177";1;4;16384
128;"host178";2;1;12288
129;"host179";12;1;32768
130;"host180";12;1;32768
131;"host181";12;1;24576
132;"host182";4;1;8192
133;"host183";8;1;65536
134;"host184";4;2;32768
135;"host185";1;8;8192
136;"host186";8;1;16384
137;"host187";8;1;16384
138;"host188";4;1;12288
139;"host189";2;16;65536
140;"host190";49;1;65536
141;"host191";4;1;16384
142;"host192";4;1;8192
143;"host193";4;1;8192
144;"host194";2;1;20480
145;"host195";2;2;8192
146;"host196";1;6;24576
147;"host197";8;1;32768
148;"host198";4;1;24576
149;"host199";4;4;16384
150;"host200";4;4;16384
151;"host201";16;1;613037
152;"host202";16;1;214260
153;"host203";4;1;81920
154;"host204";6;1;24576
155;"host205";8;1;40960
156;"host206";2;1;12288
157;"host207";4;1;16384
158;"host208";4;1;16384
159;"host209";4;1;16384
160;"host210";8;1;32768
161;"host211";8;1;65536
162;"host212";8;1;65536
163;"host213";8;4;131072
164;"host214";4;1;16384
165;"host215";8;1;32768
166;"host216";16;1;200704
167;"host217";12;1;32768
168;"host218";8;1;32768
169;"host219";6;1;262144
170;"host220";6;1;12288
171;"host221";1;8;15680
172;"host222";8;1;32768
173;"host223";12;1;73728
174;"host224";2;5;32768
175;"host225";8;1;65536
176;"host226";2;1;12288
177;"host227";2;1;7698
178;"host228";3;2;16384
179;"host229";2;4;65536
180;"host230";1;2;8192
181;"host231";5;2;24576
182;"host232";8;1;16384
183;"host233";10;1;32768
184;"host234";5;2;24576
185;"host235";4;1;11706
186;"host236";1;1;4096
187;"host237";8;1;32768
188;"host238";8;1;32768
189;"host239";3;2;32768
190;"host240";1;2;8192
191;"host241";12;1;67584
192;"host242";2;16;131040
193;"host243";2;16;131040
194;"host244";0;1;0
195;"host245";2;2;16384
196;"host246";5;2;49152
197;"host247";6;1;32768
198;"host248";1;1;4096
199;"host249";16;1;262144
200;"host250";2;2;16384
201;"host251";2;2;12288
