"id";"vpu_id";"decision";"avg_usage";"max_usage";"forecasted_max";"scale_percent";"itis_ticket_number";"action_status";"remarks";"run_id";"created_at";"resource_type"
2;2;"scale_down";0.73;9.03;4.71;50.0;"";"";"";"1";"2026-06-20 10:10:58";"cpu"
4;3;"scale_down";0.82;26.43;1.15;50.0;"";"";"";"2";"2026-06-20 10:10:58";"cpu"
6;4;"scale_down";2.07;26.37;1.9;50.0;"";"";"";"3";"2026-06-20 10:10:58";"cpu"
8;5;"no_change";44.65;99.87;53.65;0.0;"";"";"";"4";"2026-06-20 10:10:58";"cpu"
10;1;"scale_down";1.33;16.83;1.38;50.0;"";"";"";"5";"2026-06-20 10:12:27";"cpu"
11;6;"scale_down";10.79;37.93;28.28;50.0;"";"";"";"6";"2026-06-20 10:15:39";"cpu"
13;7;"no_change";11.47;65.83;14.89;0.0;"";"";"";"7";"2026-06-20 10:15:39";"cpu"
15;8;"scale_down";9.33;47.73;10.03;25.0;"";"";"";"8";"2026-06-20 10:15:39";"cpu"
17;9;"scale_down";2.63;41.77;3.32;50.0;"";"";"";"9";"2026-06-20 10:15:39";"cpu"
19;10;"no_change";5.61;62.97;7.29;0.0;"";"";"";"10";"2026-06-20 10:15:39";"cpu"
21;11;"no_change";34.09;68.47;39.47;0.0;"";"";"";"11";"2026-06-20 10:20:15";"cpu"
23;12;"scale_down";4.21;48.87;7.31;25.0;"";"";"";"12";"2026-06-20 10:20:15";"cpu"
25;13;"scale_down";1.02;30.13;1.46;50.0;"";"";"";"13";"2026-06-20 10:20:15";"cpu"
27;14;"scale_down";4.38;59.13;5.97;25.0;"";"";"";"14";"2026-06-20 10:20:15";"cpu"
29;15;"scale_down";1.04;24.83;1.57;50.0;"";"";"";"15";"2026-06-20 10:20:15";"cpu"
31;16;"scale_down";4.6;27.8;11.12;50.0;"";"";"";"16";"2026-06-20 10:24:56";"cpu"
33;17;"scale_down";5.43;52.27;6.98;25.0;"";"";"";"17";"2026-06-20 10:24:56";"cpu"
35;18;"scale_down";2.39;33.33;1.42;50.0;"";"";"";"18";"2026-06-20 10:24:56";"cpu"
37;19;"scale_down";2.84;45.0;6.63;25.0;"";"";"";"19";"2026-06-20 10:24:56";"cpu"
39;20;"scale_down";11.18;49.63;39.0;25.0;"";"";"";"20";"2026-06-20 10:24:56";"cpu"
41;21;"no_change";22.15;66.57;33.39;0.0;"";"";"";"21";"2026-06-20 10:29:40";"cpu"
43;22;"scale_down";3.09;42.17;2.9;50.0;"";"";"";"22";"2026-06-20 10:29:40";"cpu"
45;23;"scale_down";3.49;24.6;3.62;50.0;"";"";"";"23";"2026-06-20 10:29:40";"cpu"
47;24;"scale_down";20.8;58.97;5.16;25.0;"";"";"";"24";"2026-06-20 10:29:40";"cpu"
49;25;"scale_down";0.37;18.9;0.68;50.0;"";"";"";"25";"2026-06-20 10:29:40";"cpu"
51;26;"no_change";48.13;96.97;39.79;0.0;"";"";"";"26";"2026-06-20 10:34:21";"cpu"
53;27;"scale_down";5.87;43.87;3.6;50.0;"";"";"";"27";"2026-06-20 10:34:21";"cpu"
55;28;"no_change";7.28;62.5;9.74;0.0;"";"";"";"28";"2026-06-20 10:34:21";"cpu"
57;29;"no_change";41.49;94.1;49.17;0.0;"";"";"";"29";"2026-06-20 10:34:21";"cpu"
59;30;"scale_down";4.48;20.93;2.09;50.0;"";"";"";"30";"2026-06-20 10:34:21";"cpu"
61;31;"no_change";15.92;92.43;19.11;0.0;"";"";"";"31";"2026-06-20 10:39:00";"cpu"
63;32;"no_change";8.84;70.67;10.27;0.0;"";"";"";"32";"2026-06-20 10:39:00";"cpu"
65;33;"scale_down";1.56;15.17;2.03;50.0;"";"";"";"33";"2026-06-20 10:39:00";"cpu"
